r0,r1,target,pred,success
0.2556709259007797,0.18009282710073535,5,2,0
-0.2467513420947905,-0.2059002850815532,5,2,0
-0.2444116228001444,-0.2083804028202739,1,0,0
-0.20979167016309316,0.25581692353234403,1,2,0
0.29587135875870263,0.7590049763045673,5,4,0
-0.24541506940719346,-0.15070665997813146,4,2,0
-0.18368849453283434,0.3732391149889911,4,4,1
0.0877318547725654,-0.3378746708864688,3,2,0
-0.24038693529217245,-0.1994112799458472,3,2,0
-0.21263899624746174,0.19873972296593687,0,3,0
-0.2372692235733279,-0.19665321762309287,1,2,0
-0.16101645250900815,0.7817082779885746,2,2,1
-0.2437727645255553,-0.19569452614442595,1,3,0
-0.24686481239683356,-0.20570057347543,5,2,0
-0.1776834311927848,0.2209072562608208,4,2,0
-0.18304315707157576,0.3760638277311278,4,0,0
-0.14880993065124865,0.3883076528453877,5,2,0
-0.16365396038901098,0.4025612045052671,2,4,0
-0.2711270470534086,-0.3524451575593248,0,2,0
-0.2343960598276981,-0.23876726668791445,3,0,0
-0.2256855593978939,-0.17002682385624354,2,4,0
-0.22217462620183853,0.1562947679759141,4,2,0
-0.18198923118820567,0.3776777993748587,4,1,0
-0.27266842670357,-0.2420624150902738,1,4,0
-0.26004421335366873,-0.356998971868736,3,0,0
-0.2405872056597793,-0.2044251046940941,5,2,0
-0.2467420754029285,-0.20507181132915928,4,5,0
-0.2307601938703703,0.18665007790470226,2,2,1
-0.24771128683058255,-0.2077272540730633,3,0,0
-0.23851843897964756,-0.2042615748962737,3,2,0
-0.2600258482909874,-0.22501576318373573,1,1,1
-0.22976582761116854,-0.19153964467515505,4,5,0
-0.1899134819508893,-0.2051314762676637,3,1,0
-0.17215907866377997,0.7897685546186943,0,0,1
0.40367382304469934,-0.4749029900054862,1,2,0
0.17911900819583235,-0.2399904890181803,3,0,0
-0.23852803981735676,-0.2133041583628203,1,0,0
-0.24941677181054225,-0.20784869161622485,5,2,0
-0.2519246631598118,-0.20275827859571144,5,2,0
-0.24734584005284616,-0.20533213390466654,1,0,0
-0.2469227021706918,-0.20581807113674214,5,0,0
0.6777666903170909,0.20182836735839366,0,2,0
-0.21702764306595526,-0.18062842801963275,5,3,0
0.2581151439652387,0.3974500757199582,5,2,0
-0.2174191947414007,-0.17113988023975618,5,1,0
-0.2260783549904659,0.16033482856241424,0,2,0
-0.2468370194514606,-0.2056582363208124,2,1,0
-0.24942987701186595,-0.21103717049026569,0,2,0
-0.24610258820290826,-0.19328882114456933,4,1,0
0.30775087092194503,0.3717769535714683,3,1,0
-0.2338872392263125,-0.2390933691040602,3,4,0
0.8039268316714054,-0.655784571052012,2,1,0
0.3169881538459593,1.0298108235709122,2,3,0
-0.2468370194514606,-0.2056582363208124,2,3,0
-0.2411589238426027,0.04092265761307906,1,3,0
0.8370388723578762,1.9347359302544889,4,2,0
-0.22399630513294735,0.19438417012796114,2,3,0
0.27646809879531176,0.8153972719145064,0,0,1
-0.027610260009429274,-0.2887238258713739,5,1,0
-0.21068279133247586,0.18848315696204612,4,0,0
-0.2466279843859229,-0.20635786922970414,3,5,0
-0.24545860099901776,-0.20624091244907056,5,0,0
-0.23471465375203965,-0.1917134144887666,1,3,0
-0.22224808762780135,-0.14584341429058426,2,1,0
0.33006368109044865,0.4266830611028492,5,2,0
-0.18368849453283434,0.3732391149889906,4,0,0
-0.2229744778128826,0.16426003469354172,4,5,0
0.1350265170456511,0.2343733538713895,4,0,0
-0.233026438863334,-0.2374183590735561,3,2,0
-0.0249426425405062,1.6388238776035895,3,2,0
0.3841267575744257,-0.4160187214903344,2,3,0
0.2887845419589112,0.3594830940196028,5,2,0
-0.2451643267228974,-0.16283603466569366,4,4,1
0.2546282721617734,0.3830748860923496,3,0,0
2.5664686832769665,0.20337811301669512,0,1,0
-0.25988139050370096,-0.2258528091561677,1,2,0
-0.22175665239073405,0.1595617487341442,5,5,1
-0.2468370194514606,-0.2056582363208124,5,1,0
-0.2496113922890193,-0.1900594120621036,1,4,0
-0.2442790887177915,-0.2010970258014328,2,2,1
0.7983391951669956,0.3159374704929861,4,0,0
-0.2321196151738561,0.1534477795941836,3,0,0
-0.2572167788327056,-0.22403689536664925,1,2,0
-0.2448240249863801,-0.2105278126757776,5,3,0
-0.23981786271903904,-0.2270708572983464,1,3,0
3.5802106660266233,-1.2251509125629179,1,2,0
